HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,Total_x,año_trimestre_provincia,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total_y
2062,8475,13685,1133,67,0,0,25422,2014-1-Formosa,2014,1,Formosa,20774.0,4548.0,0.0,0.0,100.0,25422.0
1832,11498,18415,2002,56,0,0,33803,2014-1-Jujuy,2014,1,Jujuy,29765.0,4030.0,23.0,0.0,9.0,33827.0
7434,6535,32501,17,5,4,10,46506,2014-1-La Pampa,2014,1,La Pampa,15826.0,31305.0,513.0,5848.0,701.0,54193.0
10,5111,9390,1165,35,0,0,15711,2014-1-La Rioja,2014,1,La Rioja,15663.0,0.0,14.0,0.0,34.0,15711.0
35,6,166655,19,10,6,9,166740,2014-1-Mendoza,2014,1,Mendoza,148970.0,12076.0,2480.0,37.0,2282.0,165845.0
545,14460,52852,5139,958,0,0,73954,2014-1-Misiones,2014,1,Misiones,56597.0,17191.0,4.0,150.0,8.0,73950.0
4133,987,77148,84,1582,2,22,83958,2014-1-Neuquén,2014,1,Neuquén,47790.0,28161.0,997.0,10381.0,3051.0,90380.0
4670,4618,84304,73,1062,1,8,94736,2014-1-Río Negro,2014,1,Río Negro,64886.0,24156.0,876.0,3576.0,1572.0,95066.0
53,19677,64061,7192,314,0,0,91297,2014-1-Salta,2014,1,Salta,73131.0,17538.0,45.0,8.0,568.0,91290.0
531,2,51056,0,0,0,0,51589,2014-1-San Juan,2014,1,San Juan,48161.0,434.0,722.0,808.0,1173.0,51298.0
7,3,12544,0,1,0,2,12557,2014-1-San Luis,2014,1,San Luis,11306.0,428.0,354.0,21.0,448.0,12557.0
161,1625,24972,1,1,0,0,26760,2014-1-Santa Cruz,2014,1,Santa Cruz,18927.0,100.0,381.0,4092.0,3264.0,26764.0
8456,124468,345225,20328,6845,23,668,506013,2014-1-Santa Fe,2014,1,Santa Fe,322662.0,174296.0,3059.0,5951.0,644.0,506612.0
1234,10531,22817,2422,109,0,0,37113,2014-1-Santiago Del Estero,2014,1,Santiago Del Estero,32567.0,3598.0,19.0,915.0,34.0,37133.0
